Match,Sport,League,Country,Start Time,Home Team,Away Team,Home Win Odds,Draw Odds,Away Win Odds,Venue,Is Live
England vs South Africa,Cricket,England vs South Africa,World,2025-09-14T19:30:00,England,South Africa,1.511,25.0,2.647,Nottinghamshire Spots Club (Nottingham),False
Caribbean Premier League,Cricket,Caribbean Premier League,World,2025-09-15T05:00:00,Guyana Amazon Warriors,Barbados Royals,1.622,25.0,2.333,Providence Stadium (Georgetown),False
England. Premier League,Football,England. Premier League,England,2025-09-14T19:00:00,Burnley,Liverpool,8.7,5.52,1.369,Turf Moor (Burnley),False
England. Premier League,Football,England. Premier League,England,2025-09-14T21:30:00,Manchester City,Manchester United,1.803,4.25,4.435,Etihad (Manchester),False
Germany. Bundesliga,Football,Germany. Bundesliga,Germany,2025-09-14T19:30:00,St. Pauli,Augsburg,2.142,3.565,3.73,Millerntor (Hamburg),False
Germany. Bundesliga,Football,Germany. Bundesliga,Germany,2025-09-14T21:30:00,Borussia Monchengladbach,Werder Bremen,1.999,4.305,3.535,Borussia-Park (Monchengladbach),False
Spain. La Liga,Football,Spain. La Liga,Spain,2025-09-14T18:00:00,Celta,Girona,1.669,4.25,5.53,Balaídos (Vigo),False
France. Ligue 1,Football,France. Ligue 1,France,2025-09-14T21:15:00,Paris Saint-Germain,RC Lens,1.394,5.79,7.95,Parc des Princes (Paris),False
UEFA Champions League,Football,UEFA Champions League,Europe,2025-09-18T01:00:00,Paris Saint-Germain,Atalanta,1.368,5.29,8.15,Parc des Princes (Paris),False
France. Ligue 1,Football,France. Ligue 1,France,2025-09-22T00:45:00,Olympique de Marseille,Paris Saint-Germain,3.895,3.945,1.979,Velodrome (Marseille),False
